Secretaria;N˙mero do Processo;Modalidade de ContrataÁ„o;Empresa Contratada;CPF / CNPJ / CGC;DescriÁ„o Processo;Item / Finalidade;Quantidade Item; Valor Unit·rio ; Valor R$ Empenho ;Nota de Empenho;Data Emiss„o do Pagamento;Tipo de Documento do Pagamento; Valor NE ; Valor NL ; Valor NP ; Valor OB ;CÛdigo UG Documento;CÛdigo Fonte Recurso;Sistema Origem NE;Nome Poder;Local Entrega
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01763;04/06/2020;OB; R$-   ; R$-   ; R$-   ;R$593.838,00;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01763;05/06/2020;NL; R$-   ;R$593.838,00; R$-   ; R$-   ;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01763;09/06/2020;OB; R$-   ; R$-   ; R$-   ;R$593.838,00;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01763;11/06/2020;NL; R$-   ;R$593.838,00; R$-   ; R$-   ;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;13/05/2020;NL; R$-   ;R$346.500,00; R$-   ; R$-   ;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;18/05/2020;OB; R$-   ; R$-   ; R$-   ;R$346.500,00;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;19/05/2020;NL; R$-   ;R$345.870,00; R$-   ; R$-   ;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;21/05/2020;OB; R$-   ; R$-   ; R$-   ;R$345.870,00;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;26/05/2020;NL; R$-   ;R$345.870,00; R$-   ; R$-   ;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;28/05/2020;NL; R$-   ;R$345.870,00; R$-   ; R$-   ;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;28/05/2020;OB; R$-   ; R$-   ; R$-   ;R$345.870,00;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;01/06/2020;NL; R$-   ;R$345.870,00; R$-   ; R$-   ;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;01/06/2020;OB; R$-   ; R$-   ; R$-   ;R$345.870,00;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;02/06/2020;NL; R$-   ;R$345.870,00; R$-   ; R$-   ;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;03/06/2020;OB; R$-   ; R$-   ; R$-   ;R$345.870,00;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;04/06/2020;OB; R$-   ; R$-   ; R$-   ;R$345.870,00;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;08/06/2020;NL; R$-   ;R$345.870,00; R$-   ; R$-   ;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DE DESENVOLVIMENTO SOCIAL;2020/0576;PREG√O;CENTRO DE ALIMENTOS LTDA;62.328.190/0001-28;LICITA«√O PREG√O ELETR‘NICO CESTAS B¡SICAS;PROCESSO PARA ATENDER DESPESA COM AQUISI«√O DE CESTAS B¡SICAS ALIMENTÕCIAS, POR MEIO DE PROCESSO LICITAT”RIO DE PREG√O ELETR‘NICO;0; R$-   ;R$6.578.838,00;2020NE01764;10/06/2020;OB; R$-   ; R$-   ; R$-   ;R$345.870,00;350170;1;SIAFISICO;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;PAB2020C;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE DE GUARULHOS;16.807.135/0001-01;PAB 2020 CONSUMO;DESTINADO AO PROGRAMA PAB ESTADUAL 2020.;1;R$6.556.315,20;R$6.556.315,20;2020NE04645;27/03/2020;NE;R$6.556.315,20; R$-   ; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;GUARULHOS
SECRETARIA DA SAUDE;PAB2020C;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE DE GUARULHOS;16.807.135/0001-01;PAB 2020 CONSUMO;DESTINADO AO PROGRAMA PAB ESTADUAL 2020.;0; R$-   ;R$6.556.315,20;2020NE04645;27/03/2020;NL; R$-   ;R$6.556.315,20; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;GUARULHOS
SECRETARIA DA SAUDE;PAB2020C;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE DE GUARULHOS;16.807.135/0001-01;PAB 2020 CONSUMO;DESTINADO AO PROGRAMA PAB ESTADUAL 2020.;0; R$-   ;R$6.556.315,20;2020NE04645;27/03/2020;NP; R$-   ; R$-   ;R$6.556.315,20; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;GUARULHOS
SECRETARIA DOS TRANSPORTES METROPOLITANOS;1038265/20;INDEPEND LICITACAO;-;;"PLEITO DE REEQUILIBRIO -""PANDEMIA COVID-19""";"PLEITO DE REEQUILIBRIO -""PANDEMIA COVID-19"".";1; R$-   ;R$6.484.952,32;2020NE00003;14/05/2020;NE; R$-   ; R$-   ; R$-   ; R$-   ;370103;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DOS TRANSPORTES METROPOLITANOS;1038265/20;INDEPEND LICITACAO;-;;"PLEITO DE REEQUILIBRIO -""PANDEMIA COVID-19""";"PLEITO DE REEQUILIBRIO -""PANDEMIA COVID-19"".";1;R$6.484.952,32;R$6.484.952,32;2020NE00008;14/05/2020;NE;R$6.484.952,32; R$-   ; R$-   ; R$-   ;370103;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DOS TRANSPORTES METROPOLITANOS;1038265/20;INDEPEND LICITACAO;-;;"PLEITO DE REEQUILIBRIO -""PANDEMIA COVID-19""";"PLEITO DE REEQUILIBRIO -""PANDEMIA COVID-19"".";0; R$-   ;R$6.484.952,32;2020NE00008;29/05/2020;NL; R$-   ;R$6.484.952,32; R$-   ; R$-   ;370103;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DOS TRANSPORTES METROPOLITANOS;1038265/20;INDEPEND LICITACAO;-;;"PLEITO DE REEQUILIBRIO -""PANDEMIA COVID-19""";"PLEITO DE REEQUILIBRIO -""PANDEMIA COVID-19"".";0; R$-   ;R$6.484.952,32;2020NE00008;29/05/2020;OB; R$-   ; R$-   ; R$-   ;R$6.484.952,32;370103;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2020/18177;DISPENSA DE LICITACAO;W.JOTTA COMERCIO DE COLCHARIA LTDA;48.781.405/0001-30;AQUISICAO DE AVENTAL;AVENTAL DESCARTAVEL EM NAO TECIDO 40GR/M2 COLORIDO;500000;R$12,90;R$6.450.000,00;2020NE00610;28/04/2020;ORDINARIO;R$6.450.000,00; R$-   ; R$-   ; R$-   ;90102;1;;PODER EXECUTIVO;RUA DOS ITALIANOS 406
SECRETARIA DA SAUDE;2020/14267;DISPENSA DE LICITACAO;COMPREHENSE DO BRASIL EQUIPAMENTOS MEDICO-HOSPITALARES LTDA EPP;08.441.389/0001-12;PRESTAÁ„O DE SERVIÁOS;MANUTENCAO PREVENTIVA E CORRETIVA EM EQUIPAMENTOS MEDICO-HOSPITALARES;6;R$1.037.384,77;R$6.224.308,62;2020NE00510;02/04/2020;ESTIMATIVA;R$6.224.308,62; R$-   ; R$-   ; R$-   ;90102;1;;PODER EXECUTIVO;CONFORME FOLHETO DESCRITIVO
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO SANTA CASA MISERICORDIA FRANCA;47.969.134/0001-89;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;1;R$1.950.143,00;R$6.021.430,43;2020NE09529;21/05/2020;NE;R$1.950.143,00; R$-   ; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;FRANCA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO SANTA CASA MISERICORDIA FRANCA;47.969.134/0001-89;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;0; R$-   ;R$6.021.430,43;2020NE09529;21/05/2020;NL; R$-   ;R$1.950.143,00; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;FRANCA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO SANTA CASA MISERICORDIA FRANCA;47.969.134/0001-89;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;0; R$-   ;R$6.021.430,43;2020NE09529;22/05/2020;OB; R$-   ; R$-   ; R$-   ;R$1.950.143,00;90196;5;SIAFEM;PODER EXECUTIVO;FRANCA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO SANTA CASA MISERICORDIA FRANCA;47.969.134/0001-89;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;1;R$1.294.309,23;R$6.021.430,43;2020NE10129;02/06/2020;NE;R$1.294.309,23; R$-   ; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;FRANCA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO SANTA CASA MISERICORDIA FRANCA;47.969.134/0001-89;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;0; R$-   ;R$6.021.430,43;2020NE10129;02/06/2020;NL; R$-   ;R$1.294.309,23; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;FRANCA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO SANTA CASA MISERICORDIA FRANCA;47.969.134/0001-89;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;0; R$-   ;R$6.021.430,43;2020NE10129;02/06/2020;OB; R$-   ; R$-   ; R$-   ;R$1.294.309,23;90196;5;SIAFEM;PODER EXECUTIVO;FRANCA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO SANTA CASA MISERICORDIA FRANCA;47.969.134/0001-89;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;1;R$2.776.978,20;R$6.021.430,43;2020NE10712;09/06/2020;NE;R$2.776.978,20; R$-   ; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;FRANCA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO SANTA CASA MISERICORDIA FRANCA;47.969.134/0001-89;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;0; R$-   ;R$6.021.430,43;2020NE10712;09/06/2020;NL; R$-   ;R$2.776.978,20; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;FRANCA
SECRETARIA DA SAUDE;348610919;INEXIGIVEL;UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS;46.068.425/0001-33;TERMO DE ADITAMENTO, HOSP. REG. PIRACICABA;TERMO DE ADITAMENTO, HOSPITAL REGIONAL DE PIRACICABA, EXERCÌCIO 2020;1;R$6.000.000,00;R$6.000.000,00;2020NE00591;29/05/2020;NE;R$6.000.000,00; R$-   ; R$-   ; R$-   ;90192;1;SIAFEM;PODER EXECUTIVO;CAMPINAS
SECRETARIA DA SAUDE;348610919;INEXIGIVEL;UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS;46.068.425/0001-33;TERMO DE ADITAMENTO, HOSP. REG. PIRACICABA;TERMO DE ADITAMENTO, HOSPITAL REGIONAL DE PIRACICABA, EXERCÌCIO 2020;0; R$-   ;R$6.000.000,00;2020NE00591;29/05/2020;NL; R$-   ;R$1.000.000,00; R$-   ; R$-   ;90192;1;SIAFEM;PODER EXECUTIVO;CAMPINAS
SECRETARIA DA SAUDE;348610919;INEXIGIVEL;UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS;46.068.425/0001-33;TERMO DE ADITAMENTO, HOSP. REG. PIRACICABA;TERMO DE ADITAMENTO, HOSPITAL REGIONAL DE PIRACICABA, EXERCÌCIO 2020;0; R$-   ;R$6.000.000,00;2020NE00591;29/05/2020;OB; R$-   ; R$-   ; R$-   ;R$1.000.000,00;90192;1;SIAFEM;PODER EXECUTIVO;CAMPINAS
SECRETARIA DA SAUDE;348610919;INEXIGIVEL;UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS;46.068.425/0001-33;TERMO DE ADITAMENTO, HOSP. REG. PIRACICABA;TERMO DE ADITAMENTO, HOSPITAL REGIONAL DE PIRACICABA, EXERCÌCIO 2020;0; R$-   ;R$6.000.000,00;2020NE00591;03/06/2020;NL; R$-   ;R$1.000.000,00; R$-   ; R$-   ;90192;1;SIAFEM;PODER EXECUTIVO;CAMPINAS
SECRETARIA DA SAUDE;348610919;INEXIGIVEL;UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS;46.068.425/0001-33;TERMO DE ADITAMENTO, HOSP. REG. PIRACICABA;TERMO DE ADITAMENTO, HOSPITAL REGIONAL DE PIRACICABA, EXERCÌCIO 2020;0; R$-   ;R$6.000.000,00;2020NE00591;04/06/2020;OB; R$-   ; R$-   ; R$-   ;R$1.000.000,00;90192;1;SIAFEM;PODER EXECUTIVO;CAMPINAS
SECRETARIA DOS TRANSPORTES METROPOLITANOS;1020738/20;INDEPEND LICITACAO;-;;PLEITO DE REEQUILIBRIO-PANDEMIA COVID-19-;REQUERIMENTO ADMINISTRATIVO DE RECOMPOSI«√O DO EQUILIBRIO ECONOMICO-         FINANCEIRO-PERMISS’ES DE SERVI«OS DE TRANSPORTES P⁄BLICO INTERMUNICIPAL      NA REGI√O METROPOLITANA DE S√O PAULO RMSP-PUBLIX-IMPACTOS NA RECEITA PANDEMIA;1;R$5.835.997,50;R$5.835.997,50;2020NE00005;14/05/2020;NE;R$5.835.997,50; R$-   ; R$-   ; R$-   ;370103;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DOS TRANSPORTES METROPOLITANOS;1020738/20;INDEPEND LICITACAO;-;;PLEITO DE REEQUILIBRIO-PANDEMIA COVID-19-;REQUERIMENTO ADMINISTRATIVO DE RECOMPOSI«√O DO EQUILIBRIO ECONOMICO-         FINANCEIRO-PERMISS’ES DE SERVI«OS DE TRANSPORTES P⁄BLICO INTERMUNICIPAL      NA REGI√O METROPOLITANA DE S√O PAULO RMSP-PUBLIX-IMPACTOS NA RECEITA PANDEMIA;0; R$-   ;R$5.835.997,50;2020NE00005;15/05/2020;NL; R$-   ;R$2.589.889,99; R$-   ; R$-   ;370103;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DOS TRANSPORTES METROPOLITANOS;1020738/20;INDEPEND LICITACAO;-;;PLEITO DE REEQUILIBRIO-PANDEMIA COVID-19-;REQUERIMENTO ADMINISTRATIVO DE RECOMPOSI«√O DO EQUILIBRIO ECONOMICO-         FINANCEIRO-PERMISS’ES DE SERVI«OS DE TRANSPORTES P⁄BLICO INTERMUNICIPAL      NA REGI√O METROPOLITANA DE S√O PAULO RMSP-PUBLIX-IMPACTOS NA RECEITA PANDEMIA;0; R$-   ;R$5.835.997,50;2020NE00005;15/05/2020;NL; R$-   ;R$3.246.107,51; R$-   ; R$-   ;370103;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DOS TRANSPORTES METROPOLITANOS;1020738/20;INDEPEND LICITACAO;-;;PLEITO DE REEQUILIBRIO-PANDEMIA COVID-19-;REQUERIMENTO ADMINISTRATIVO DE RECOMPOSI«√O DO EQUILIBRIO ECONOMICO-         FINANCEIRO-PERMISS’ES DE SERVI«OS DE TRANSPORTES P⁄BLICO INTERMUNICIPAL      NA REGI√O METROPOLITANA DE S√O PAULO RMSP-PUBLIX-IMPACTOS NA RECEITA PANDEMIA;0; R$-   ;R$5.835.997,50;2020NE00005;18/05/2020;OB; R$-   ; R$-   ; R$-   ;R$2.589.889,99;370103;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DOS TRANSPORTES METROPOLITANOS;1020738/20;INDEPEND LICITACAO;-;;PLEITO DE REEQUILIBRIO-PANDEMIA COVID-19-;REQUERIMENTO ADMINISTRATIVO DE RECOMPOSI«√O DO EQUILIBRIO ECONOMICO-         FINANCEIRO-PERMISS’ES DE SERVI«OS DE TRANSPORTES P⁄BLICO INTERMUNICIPAL      NA REGI√O METROPOLITANA DE S√O PAULO RMSP-PUBLIX-IMPACTOS NA RECEITA PANDEMIA;0; R$-   ;R$5.835.997,50;2020NE00005;18/05/2020;OB; R$-   ; R$-   ; R$-   ;R$3.246.107,51;370103;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO DR.AMARAL CARVALHO;50.753.755/0001-35;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;1;R$2.659.287,00;R$5.808.322,25;2020NE09526;21/05/2020;NE;R$2.659.287,00; R$-   ; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;CANANEIA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO DR.AMARAL CARVALHO;50.753.755/0001-35;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;0; R$-   ;R$5.808.322,25;2020NE09526;21/05/2020;NL; R$-   ;R$2.659.287,00; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;CANANEIA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO DR.AMARAL CARVALHO;50.753.755/0001-35;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;0; R$-   ;R$5.808.322,25;2020NE09526;22/05/2020;OB; R$-   ; R$-   ; R$-   ;R$2.659.287,00;90196;5;SIAFEM;PODER EXECUTIVO;CANANEIA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO DR.AMARAL CARVALHO;50.753.755/0001-35;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;1;R$427.515,27;R$5.808.322,25;2020NE10134;02/06/2020;NE;R$427.515,27; R$-   ; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;CANDIDO MOTA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO DR.AMARAL CARVALHO;50.753.755/0001-35;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;0; R$-   ;R$5.808.322,25;2020NE10134;02/06/2020;NL; R$-   ;R$427.515,27; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;CANDIDO MOTA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO DR.AMARAL CARVALHO;50.753.755/0001-35;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;0; R$-   ;R$5.808.322,25;2020NE10134;02/06/2020;OB; R$-   ; R$-   ; R$-   ;R$427.515,27;90196;5;SIAFEM;PODER EXECUTIVO;CANDIDO MOTA
SECRETARIA DA SAUDE;147116;INDEPEND LICITACAO;FUNDACAO DR.AMARAL CARVALHO;50.753.755/0001-35;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;GESTAO ESTADUAL - TETO FIXO FILANTROPICOS;1;R$2.721.519,98;R$5.808.322,25;2020NE10721;09/06/2020;NE;R$2.721.519,98; R$-   ; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;JAU
